@ 454dkhan @ Heisunberg _ Agr kse ko itni importantce chaeay ni tou ðŸ˜…  	1
logon ko alloo pyaz tomator me toh allah pak ka naam nazar aa jata hai pr aankhon k samne allah pak ke bande nazar â€¦ https // t . co / hBg7zS0viy  	1
@ LambaAlka Wafadaar bane rahane ka nayab tarika hai lamba ji aap us party se Judi hai jiska sardar @ ArvindKejriwal â€¦ https // t . co / krVTd1ZAEK  	1
@ varnishant @ narendramodi Chup bhosdike . He has been exonerated of all the charges . Tum log ghanta prove nahi kar paaye .  	0
RT @ HardeepSPuri à¨¦à¨¾à¨¤à¨¾ à¨¸à©‹ à¨¸à¨¾à¨²à¨¾à¨¹à©€à¨ à¨œà¨¿ à¨¸à¨­à¨¸à©ˆ à¨¦à©‡ à¨†à¨§à¨¾à¨°à© à¥¥ Praise the Great Giver who gives sustenance to all . Paid obeisance at Gurudwara Sr â€¦  	2
@ bomanirani # HNY2 ki announcement hogyi to humka iss gola me nhi rehna hum nikal jaounga dusre gola me  	1
RT @ SharmakeF We're almost in the final three-days of Ramadan â€” very close to the finish line . So let's make sure that we double up our I â€¦  	1
@ 6thrat This song makes me super happy . I sing it for myself . Take ! Khush raho abaad raho . Hemant Da blessings ! https // t . co / lG4IW3Qu6q  	2
@ sadifabi @ Shahidmasooddr tm dikha rhy ho apni asli auqaat wese btao tou ye propaganda kyu krta hai shahid masood ?  	0
@ TheVampsCon you made Nadi so so so happy today . Thank you so much for this . I really love seeing one of my best friends this happy ðŸ’—  	2
RT @ DHEERAJ48968067 @ nirahua1 @ msunilbishnoi Wah bhai Shandaar jabab  	2
RT @ deepakrajput97 @ sohailm08283995 @ SiR2712 @ krishan _ goa @ reema _ sahanii suar tere jaiso ko sikhaya ja hi nahi sakta kyonki tu suar hai kh â€¦  	0
@ UdarOfficial Tere jesy chotiya sath hoge jo k conceler banny k laiq be nhi hain to koj nai badalna Pakistan da  	0
Samarthan ke aabhav aur rajnitik swartho ke karan iska kabhi bhi sahi nyay nahi Kiya Gaya roshavash dharmik imarat â€¦ https // t co / Dlsp4clk52  	1
RT @ AnujVer43198765 @ narendramodi Congratulations sir ji Dobara pm banee ki hardik subhkamnaye aapko  	2
RT @ sahiljoshii Now kisan samman yojana for all no 5 Hector criteria anymore pension scheme for farmers 3000 rs per month and vaccin â€¦  	1
RT @ mis _ bahu No Enlish word has double '' oo '' except Good . Prove me wrong ?ðŸ¤— https // t . co / dNFMsFJNcF  	1
Modi ka lehar kisano pe baras raha kehar tut rahe haath pao road ki buri halato ka aasar @ aajtak @ BBCBreaking â€¦ https // t . co / 3FfAp8y2GP  	0
@ ravindraj12 @ TarekFatah Yarr India me aise log b hain ??? Life me 1st time India ka koi banda Positive dekha Appreciate u bro ðŸ‡µðŸ‡°â¤ðŸ‡®ðŸ‡³  	2
@ BaijnathMourya @ mssirsa @ AapkamanojS @ ArvindKejriwal Haan Mai free Wi-Fi dunga free water dunga Sasti Bijli doo â€¦ https // t co / d4uOIcb562  	2
Log kitna bara chootiya hy jhoot ko such manker vote krdiya bcz of govt foult terror bring 100 + kg rdx and killed 5â€¦ https // t co / DKMZdwqd1c  	0
@ asifnkhan08 @ SAUMEN _ BANERJ _ E @ JhaSanjay Time and circumstances ke sath jo change nhi hota vo sabse bada bewakuf ho â€¦ https // t co / GPIt7Q9zJx  	0
@ iawoolford Kuchh samajh aaya Shukla ji ? Thoda unko respect dena bhi sikh lo Tumhe kaun si south Indian language a â€¦ https // t co / EvFXqDkBZn  	1
@ AhmedRazaQadri Wah MASHA ALLAH ðŸ¥°ðŸ¥°â¤â¤ðŸŒ¹ðŸŒ¹ Bilkul ap Quran ePak ki tilawat itni achi krty hain k dil ko bht skon milta h â€¦ https // tco / K8OGQIeznf  	2
@ Sicilian __ Mafia Bhaai Engineers sirf love hi krte hain . Wo love marriage mai convert naaai hoti  	1
@ jaavedjaaferi @ MeezaanJ Congrats and best of luck to @ MeezaanJ @ jaavedjaaferi he reminds about you of your looks o â€¦ https // t co / xn4pbtUiCz  	2
RT @ ImUrsTarun Zinda Hoon Main Tujhme Tujhme Rahunga Zinda Todke Sab Zanjeerein Main Aazad Parinda ðŸ”¥ One Of The Best Song Ever ðŸ’¥ ðŸ”¥ GO â€¦  	2
RT @ IshqFM You could win a free trip for two to watch India play for the world cup in England . You can invite Priya or maybe Alisha . That â€¦  	1
@ FaryalFKhan Seedi golian bersai he ... kisi ma himmat nahi unko poochay .. ka bher bukriyan thin jin ko mara ... Lanat puppet govt per  	0
@ pearltaes why did i not see them kuch mahine pehle eye -  	1
@ ZeeNews Mein toh chahta hoon ye resign na kare ... Ye jab tak rahega @ BJP4India aaram se elections jeetegi ... Aur ent â€¦ https // t . co / Djgtp4hTtb  	1
i want to video edit with picsart but the subscription costs too much and im not that desperate to edit for 8 dollars per month . Sighhh .  	1
@ pbhushan1 Oxford ko apne pichwade mein Daal le .. who gives a fuck .. India has voted .. tum jaise chuzze ab 5 saal t â€¦ https // t . co / 0msQw3omXN  	0
Hon P M Modi Sir I Wish you best Luck and God bless you Shankar V Rathva Ex MLA Chhota-Udepur Gujarat  	2
@ akki _ dhoni @_ iRajeev You are stalking me bro . Just shut up and nikal . Le . Faltu logo ki mention mein jagah nahi haii  	0
Tum jaise bike hue godi media ke show me nahi Jana rashtra hit me bahut achha faisla hai . Aise media ko parmanent i â€¦ https // t . co / Fyqer2WHG8  	0
@ cchimbap My parents love them too so yes haha ðŸ˜‚ðŸ’œ almost everyone from my fam actually  	2
Sir @ ArvindKejriwal Aap bhi aisa drama kr do kam se km https // t . co / hbCFHG6tek  	0
RT @ thepradeep01 @ azkhawaja1 105 all out # HarJagahDher 150 run to bante nahi lekin kashmir chahiye bc .  	0
RT @ Pratima48816302 @ GitaSKapoor Ye to aise apni details de rahe jaise iske Ghar ladki byahni ho humne apne .ðŸ˜‚ mansik santulan thik nhi iska â€¦  	1
RT @ tarani07615489 @ PoliceRajasthan corruption ki complain pe aap dhayan Kyu nahi dete ? Mene 2 baar tweet kiya ki jalor Police ( Ahore ) fr â€¦  	0
@ ArnabGoswamiRtv @ RahulGandhi Kyu ki vo tumhari tarha chutiye nahi the Paid Media sale apne channel ka naam bhi â€¦ https // t . co / BNGlv19Wlj  	0
@ SeharKamran @_ Mansoor _ Ali @ ExpressNewsPK @ SMARC _ PPP @ PPPPInfoSecy Ye nalaiqon ka tola Ya ALLAH Pakistan ki khair  	0
@ MajorPoonia mahilaye labh uthayengi . lekin vote bjp ko dengi . kyon ki 5 sal me kejariwsl ji ne kuch nahi kiya unko s â€¦ https // t . co / Bi4bChsJ38  	0
@ QasimalirazaAli Ye such bolne walo ko mar sakte lekin such ko daba nhi sakhte or such ko jitna dabane ki koshish k â€¦ https // t co / RNCi0uDlOd  	1
Setting up for our HII audit workshop with matrons Thank you ISS for your support and super refreshments https // t co / oQE5Fd2FBH  	1
@ SpursOfficial Cheers lad . You lot just having a really good season hate to say that tbh but never forget that . Good luck for next season !  	2
